iter	Logloss
0	0.6263553372
1	0.5804553673
2	0.5323251
3	0.4986200746
4	0.4714044923
5	0.4468949757
6	0.4263411453
7	0.4095518245
8	0.390941103
9	0.3782569224
10	0.3679144614
11	0.3583235436
12	0.3505341746
13	0.3427813478
14	0.3359343659
15	0.3305604082
16	0.3238582332
17	0.3183255256
18	0.3145854481
19	0.3108172255
20	0.306288203
21	0.3033598096
22	0.2993416092
23	0.2972760789
24	0.2949303143
25	0.2921978306
26	0.2902511303
27	0.2884718714
28	0.2865634858
29	0.2853707505
30	0.284122294
31	0.282892621
32	0.2809517336
33	0.2796588316
34	0.278704574
35	0.2776471639
36	0.2767590408
37	0.2759723679
38	0.2752215993
39	0.2745499827
40	0.2731465161
41	0.2724272217
42	0.2716826747
43	0.2710408907
44	0.2701453452
45	0.2696791195
46	0.2690156486
47	0.2683499386
48	0.267872653
49	0.2673801412
50	0.2670880433
51	0.2666002416
52	0.2661436266
53	0.2657932085
54	0.26540937
55	0.2649848589
56	0.2645784555
57	0.26427784
58	0.2640306432
59	0.2637284558
60	0.2633996552
61	0.2631571042
62	0.262752946
63	0.2625206766
64	0.2622753949
65	0.2620601653
66	0.2617550875
67	0.261470833
68	0.2612187618
69	0.2609483331
70	0.2607033312
71	0.2604213908
72	0.2601431307
73	0.2599344481
74	0.259722296
75	0.2594924949
76	0.2592368877
77	0.2586609659
78	0.2583782575
79	0.2581731899
80	0.2576680767
81	0.2574990282
82	0.2573410385
83	0.2571762198
84	0.2567812632
85	0.2566535899
86	0.2564640865
87	0.2563001521
88	0.2561450863
89	0.2559723803
90	0.2557867962
91	0.2556088049
92	0.25543093
93	0.2552894685
94	0.2550706684
95	0.2547830317
96	0.2546355509
97	0.254496338
98	0.2542940976
99	0.2540634495
100	0.2538995894
101	0.2537335894
102	0.2535844198
103	0.2531898706
104	0.2530350469
105	0.2528837216
106	0.2526953974
107	0.2525730681
108	0.2524086792
109	0.2522898612
110	0.2521315355
111	0.2519323785
112	0.2518192287
113	0.2517221149
114	0.2516246838
115	0.2514816833
116	0.2514014781
117	0.2512391204
118	0.2511454504
119	0.2510274207
120	0.2509223988
121	0.2507875177
122	0.2506452024
123	0.2505578
124	0.2504519764
125	0.2502699209
126	0.2501992842
127	0.250106212
128	0.2498869745
129	0.2497884597
130	0.2496422691
131	0.2495653933
132	0.2494656515
133	0.249311029
134	0.2492127527
135	0.2491235627
136	0.249044286
137	0.2489312707
138	0.2488090318
139	0.2487483503
140	0.2486888548
141	0.2486319587
142	0.248492569
143	0.2483987844
144	0.2482994964
145	0.2481920692
146	0.2481351545
147	0.2480463863
148	0.2479303923
149	0.2478186878
150	0.247767245
151	0.2476811466
152	0.2475332953
153	0.2474581367
154	0.2473355185
155	0.2470697789
156	0.2469581635
157	0.2468885892
158	0.2467409876
159	0.2466829082
160	0.2465853967
161	0.2465039583
162	0.246427935
163	0.246362828
164	0.2462356533
165	0.2461430552
166	0.246092372
167	0.24600009
168	0.2459434213
169	0.2458598334
170	0.2456894193
171	0.245613097
172	0.2455448484
173	0.2453510383
174	0.2451903546
175	0.245108737
176	0.2450402585
177	0.2449989402
178	0.2449334565
179	0.244865209
180	0.2447881751
181	0.2447436372
182	0.2446878394
183	0.2445921848
184	0.2445221423
185	0.2444646554
186	0.2443189391
187	0.244198714
188	0.244028323
189	0.2439730996
190	0.2439044963
191	0.2438083316
192	0.2437511479
193	0.2436834564
194	0.2436484572
195	0.2436001079
196	0.2435255671
197	0.2434720278
198	0.243407861
199	0.2433571842
200	0.2433137161
201	0.2432366516
202	0.2431456301
203	0.2430722397
204	0.2429781961
205	0.2429092282
206	0.2428007745
207	0.2427049295
208	0.2426340839
209	0.2425738174
210	0.2425355123
211	0.2424713864
212	0.2424126457
213	0.2423510128
214	0.2422808888
215	0.2422140806
216	0.242154081
217	0.2421271321
218	0.2420616423
219	0.2419920667
220	0.2419026956
221	0.2418493485
222	0.2418048526
223	0.2417483802
224	0.2416769131
225	0.2416346423
226	0.2415724795
227	0.2415178893
228	0.2414579145
229	0.2413995988
230	0.2412447019
231	0.2412099685
232	0.2411686142
233	0.2410919509
234	0.241026361
235	0.2409625661
236	0.2409091033
237	0.2408700594
238	0.2408252472
239	0.2407807685
240	0.2407477301
241	0.2406915443
242	0.2406402053
243	0.2405616207
244	0.2405149652
245	0.2404689781
246	0.2404013248
247	0.2403509272
248	0.2403078842
249	0.2402844045
250	0.2402344479
251	0.2401916717
252	0.2401276482
253	0.2400724879
254	0.2399964818
255	0.2399325486
256	0.2398847898
257	0.2398339968
258	0.2397845492
259	0.2397561771
260	0.2397026772
261	0.2396500731
262	0.2396007105
263	0.2395568336
264	0.239457233
265	0.2394053701
266	0.2393256516
267	0.2392418954
268	0.2391885401
269	0.2391411436
270	0.2390551479
271	0.2390016838
272	0.2389687418
273	0.2389047405
274	0.2388503932
275	0.2388029606
