iter	Passed	Remaining
0	74	88991
1	140	84280
2	196	78534
3	259	77498
4	310	74211
5	372	74097
6	446	76112
7	512	76294
8	578	76538
9	642	76405
10	714	77188
11	780	77306
12	844	77133
13	907	76837
14	963	76096
15	1027	76013
16	1097	76394
17	1176	77247
18	1245	77417
19	1301	76815
20	1365	76639
21	1436	76914
22	1497	76640
23	1561	76531
24	1624	76334
25	1694	76504
26	1756	76289
27	1810	75763
28	1870	75530
29	1927	75191
30	1998	75347
31	2051	74863
32	2105	74472
33	2160	74099
34	2238	74524
35	2299	74343
36	2349	73847
37	2404	73527
38	2455	73094
39	2516	72965
40	2568	72616
41	2618	72206
42	2671	71878
43	2732	71790
44	2792	71668
45	2866	71904
46	2929	71877
47	2985	71640
48	3035	71311
49	3093	71159
50	3153	71055
51	3202	70705
52	3256	70482
53	3310	70259
54	3429	71404
55	3506	71624
56	3567	71542
57	3621	71307
58	3692	71410
59	3757	71387
60	3823	71385
61	3873	71095
62	3947	71250
63	4008	71157
64	4083	71311
65	4140	71144
66	4205	71110
67	4267	71037
68	4318	70789
69	4379	70697
70	4435	70533
71	4492	70388
72	4548	70222
73	4603	70054
74	4665	69989
75	4709	69656
76	4753	69329
77	4810	69190
78	4872	69137
79	4933	69071
80	4991	68952
81	5043	68765
82	5102	68670
83	5162	68590
84	5220	68486
85	5276	68349
86	5331	68207
87	5395	68182
88	5448	68020
89	5502	67861
90	5557	67722
91	5627	67779
92	5700	67850
93	5758	67756
94	5813	67614
95	5882	67643
96	5956	67730
97	6032	67830
98	6112	67981
99	6173	67904
100	6219	67677
101	6286	67673
102	6340	67527
103	6405	67503
104	6464	67411
105	6527	67366
106	6580	67221
107	6640	67139
108	6703	67091
109	6756	66951
110	6814	66853
111	6872	66763
112	6919	66560
113	6971	66416
114	7015	66193
115	7064	66015
116	7126	65967
117	7203	66056
118	7255	65905
119	7350	66156
120	7441	66357
121	7528	66521
122	7639	66891
123	7704	66858
124	7789	66985
125	7924	67547
126	8041	67945
127	8145	68217
128	8225	68290
129	8315	68442
130	8395	68506
131	8449	68363
132	8503	68222
133	8574	68209
134	8728	68858
135	8836	69128
136	8901	69064
137	8953	68905
138	9021	68863
139	9100	68907
140	9175	68911
141	9237	68828
142	9317	68868
143	9401	68942
144	9472	68923
145	9537	68851
146	9593	68718
147	9655	68629
148	9725	68603
149	9788	68519
150	9844	68387
151	9915	68361
152	9981	68301
153	10050	68262
154	10108	68149
155	10171	68067
156	10240	68032
157	10290	67867
158	10352	67777
159	10396	67578
160	10449	67432
161	10506	67320
162	10559	67176
163	10605	66995
164	10658	66859
165	10721	66781
166	10764	66585
167	10811	66412
168	10855	66225
169	10932	66239
170	11000	66197
171	11066	66142
172	11120	66016
173	11179	65918
174	11248	65882
175	11311	65812
176	11375	65747
177	11440	65684
178	11502	65611
179	11560	65511
180	11613	65382
181	11662	65234
182	11710	65080
183	11761	64944
184	11804	64764
185	11851	64610
186	11900	64464
187	11957	64369
188	12009	64239
189	12058	64101
190	12113	63990
191	12173	63911
192	12221	63764
193	12271	63634
194	12317	63482
195	12432	63682
196	12499	63641
197	12550	63514
198	12599	63375
199	12656	63281
200	12712	63181
201	12766	63075
202	12826	62993
203	12875	62863
204	12932	62770
205	12985	62656
206	13041	62561
207	13095	62457
208	13151	62359
209	13227	62359
210	13278	62239
211	13328	62115
212	13384	62018
213	13437	61911
214	13496	61834
215	13554	61747
216	13605	61633
217	13656	61517
218	13710	61415
219	13768	61333
220	13838	61301
221	13909	61278
222	13980	61248
223	14044	61193
224	14099	61099
225	14162	61034
226	14222	60963
227	14279	60874
228	14334	60782
229	14398	60724
230	14465	60679
231	14522	60592
232	14581	60516
233	14646	60463
234	14716	60432
235	14785	60396
236	14845	60320
237	14905	60248
238	14964	60172
239	15031	60124
240	15097	60076
241	15157	60002
242	15225	59963
243	15303	59960
244	15387	59978
245	15447	59904
246	15501	59810
247	15545	59673
248	15592	59551
249	15648	59466
250	15700	59359
251	15756	59274
252	15809	59174
253	15874	59124
254	15940	59074
255	15985	58946
256	16034	58833
257	16092	58756
258	16155	58695
259	16205	58588
260	16257	58490
261	16301	58363
262	16347	58240
263	16395	58128
264	16449	58039
265	16499	57933
266	16558	57860
267	16610	57764
268	16664	57676
269	16710	57557
270	16759	57451
271	16806	57340
272	16850	57216
273	16908	57144
274	16974	57095
275	17045	57066
276	17161	57184
277	17219	57110
278	17274	57025
279	17334	56957
280	17386	56861
281	17438	56766
282	17486	56660
283	17537	56565
284	17602	56513
285	17673	56481
286	17718	56366
287	17771	56277
288	17845	56253
289	17902	56175
290	17973	56143
291	18032	56072
292	18087	55990
293	18141	55906
294	18188	55800
295	18239	55704
296	18294	55621
297	18340	55514
298	18401	55450
299	18461	55385
300	18525	55330
301	18586	55266
302	18649	55210
303	18710	55146
304	18768	55075
305	18834	55025
306	18900	54977
307	18957	54902
308	19023	54855
309	19091	54811
310	19177	54820
311	19250	54789
312	19301	54696
313	19359	54624
314	19415	54548
315	19476	54486
316	19527	54392
317	19587	54328
318	19652	54274
319	19710	54205
320	19772	54143
321	19841	54102
322	19910	54059
323	19981	54022
324	20058	54003
325	20128	53965
326	20180	53875
327	20232	53788
328	20293	53726
329	20346	53639
330	20411	53587
331	20484	53556
332	20535	53466
333	20605	53425
334	20668	53366
335	20726	53296
336	20780	53214
337	20830	53123
